,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Torbay,90,CA,1601559780,100,47.67,-52.73,70.0,25.28
375,Salalah,20,OM,1601559781,74,17.02,54.09,82.4,11.41
376,Jizan,20,SA,1601559781,53,17.33,42.67,96.8,10.29
377,Korla,100,CN,1601559782,29,41.76,86.15,58.86,3.78
378,Caconda,100,AO,1601559782,30,-13.73,15.07,81.18,9.66
379,Kondinskoye,0,RU,1601559783,80,59.65,67.41,50.04,6.89
380,Travesía,40,HN,1601559783,88,15.87,-87.9,84.0,5.82
381,São Félix do Xingu,87,BR,1601559783,35,-6.64,-51.99,98.22,2.35
382,Iberia,1,US,1601559784,93,29.95,-91.75,71.01,4.25
383,Palu,100,ID,1601559784,81,-0.89,119.87,77.27,2.37
384,Visnes,81,NO,1601559785,59,59.36,5.22,64.0,26.4
385,Tarnogskiy Gorodok,78,RU,1601559785,80,60.5,43.58,55.69,4.36
386,Vilhena,41,BR,1601559785,38,-12.74,-60.15,93.61,3.31
387,Inuvik,90,CA,1601559786,93,68.35,-133.72,35.6,9.17
388,Berlevåg,90,NO,1601559786,93,70.86,29.09,48.2,5.82
389,Kodinsk,30,RU,1601559786,97,58.69,99.18,28.58,2.86
390,Cartagena,75,CO,1601559701,88,10.4,-75.51,82.4,4.7
391,Bac Lieu,46,VN,1601559787,83,9.29,105.72,80.76,9.51
392,Jiexiu,0,CN,1601559788,34,37.02,111.91,58.12,3.11
393,Noumea,0,NC,1601559701,68,-22.28,166.46,64.4,3.36
394,Lorengau,100,PG,1601559789,77,-2.02,147.27,81.64,5.21
395,Kiryat Gat,0,IL,1601559790,60,31.61,34.76,86.0,7.0
396,Çermik,40,TR,1601559790,30,38.14,39.45,82.4,9.17
397,Nizhniy Kuranakh,100,RU,1601559790,87,58.84,125.49,35.24,3.27
398,Saldanha,0,ZA,1601559791,37,-33.01,17.94,69.8,18.34
399,Kutno,91,PL,1601559791,92,52.23,19.36,55.99,1.01
400,Susanville,1,US,1601559791,56,40.42,-120.65,44.6,1.61
401,Coquimbo,90,CL,1601559792,87,-29.95,-71.34,51.8,2.24
402,Vardø,75,NO,1601559792,93,70.37,31.11,50.0,11.41
403,Arrecife,75,ES,1601559782,61,28.96,-13.55,77.0,14.99
404,Ambilobe,78,MG,1601559793,67,-13.2,49.05,81.41,4.52
405,Sondrio,99,IT,1601559572,64,46.17,9.87,68.0,1.01
406,Lagoa,66,PT,1601559793,87,39.05,-27.98,69.35,12.66
407,Lakes Entrance,0,AU,1601559794,90,-37.88,147.98,44.01,7.0
408,Conceição do Araguaia,41,BR,1601559794,30,-8.26,-49.26,97.88,7.76
409,Al Bardīyah,0,LY,1601559795,60,31.76,25.09,76.75,15.61
410,San-Pédro,92,CI,1601559795,78,4.75,-6.64,79.88,11.01
411,Samarai,100,PG,1601559796,85,-10.62,150.67,77.25,15.05
412,Rājbirāj,100,NP,1601559796,73,26.53,86.75,82.27,1.9
413,Yelizovo,2,RU,1601559797,100,53.19,158.38,39.2,8.95
414,Akhmīm,0,EG,1601559797,11,26.56,31.75,105.8,17.22
415,Mórrope,20,PE,1601559797,77,-6.54,-80.01,64.4,8.05
416,Monrovia,75,LR,1601559798,83,6.3,-10.8,82.4,12.75
417,Kirundo Province,75,BI,1601559798,83,-2.58,30.17,69.8,3.36
418,Barra Patuca,100,HN,1601559799,81,15.8,-84.28,81.64,9.4
419,Luau,67,AO,1601559799,35,-10.71,22.22,88.23,4.27
420,Lyaskelya,100,RU,1601559799,76,61.77,31.02,54.66,2.82
421,Brae,75,GB,1601559800,93,60.4,-1.35,55.4,16.11
422,Huarmey,70,PE,1601559800,71,-10.07,-78.15,66.76,8.81
423,Wilmington,1,US,1601559801,77,34.23,-77.94,71.01,4.7
424,Mwanza,20,TZ,1601559801,57,-2.52,32.9,77.0,11.41
425,Yatou,89,CN,1601559802,74,37.15,122.38,66.18,10.27
426,Viedma,37,AR,1601559802,43,-40.81,-63.0,53.4,15.3
427,Muros,100,ES,1601559802,73,42.78,-9.06,64.0,15.99
428,Marathon,90,US,1601559803,93,44.9,-89.77,48.0,11.41
429,Husavik,61,IS,1601559803,48,66.04,-17.34,44.6,8.05
430,Wanaka,98,NZ,1601559673,75,-44.7,169.15,39.33,4.92
431,Nome,90,US,1601559803,81,64.5,-165.41,45.0,5.82
432,Neya,92,RU,1601559804,69,58.3,43.87,58.06,3.38
433,Palora,75,EC,1601559804,88,-1.7,-77.93,66.2,3.36
434,Zliten,85,LY,1601559805,30,32.47,14.57,93.52,2.3
435,Havøysund,75,NO,1601559805,100,71.0,24.66,46.4,9.17
436,Alcúdia,0,ES,1601559805,65,39.85,3.12,80.01,16.11
437,Sudogda,37,RU,1601559806,51,55.95,40.86,59.86,4.83
438,Moïssala,62,TD,1601559807,65,8.34,17.77,84.78,2.08
439,Mingyue,100,CN,1601559807,79,43.11,128.92,50.25,4.99
440,Necochea,55,AR,1601559807,73,-38.55,-58.74,55.0,8.01
441,Dicabisagan,31,PH,1601559808,85,17.08,122.42,78.91,6.4
442,La Palma,1,US,1601559808,48,33.85,-118.05,69.8,1.79
443,Khani,40,GE,1601559808,39,41.96,42.96,78.8,32.21
444,Pekan Nenas,20,MY,1601559809,88,1.51,103.51,80.6,2.24
445,Oodweyne,90,SO,1601559809,31,9.41,45.06,85.33,3.87
446,Biak,88,ID,1601559810,77,-0.91,122.88,78.67,7.38
447,Itoman,20,JP,1601559810,83,26.12,127.67,78.8,10.29
448,Roald,26,NO,1601559810,48,62.58,6.13,66.2,11.41
449,Lodwar,3,KE,1601559811,26,3.12,35.6,95.85,11.25
450,Manzanillo,100,CU,1601559811,85,20.34,-77.12,78.58,6.69
451,Faya,40,SA,1601559811,50,18.39,42.45,75.2,9.17
452,Mankono,98,CI,1601559812,88,8.06,-6.19,77.31,8.43
453,Lamar,1,US,1601559561,72,33.67,-95.58,62.01,8.05
454,Halmstad,75,SE,1601559656,72,56.67,12.86,62.01,11.41
455,Ban Dung,69,TH,1601559813,88,17.7,103.26,79.0,4.88
456,Broome,1,US,1601559813,76,42.25,-75.83,57.99,13.87
457,Palana,89,RU,1601559814,97,59.12,159.97,40.19,2.62
458,Yokadouma,100,CM,1601559814,94,3.52,15.05,73.31,3.98
459,Murray Bridge,0,AU,1601559815,67,-35.12,139.27,63.0,3.0
460,Vila Franca do Campo,20,PT,1601559815,60,37.72,-25.43,73.4,13.87
461,Fort Nelson,75,CA,1601559816,75,58.81,-122.7,44.6,2.24
462,Billings Metropolitan Area,20,US,1601559816,42,45.78,-108.5,44.6,4.7
463,Anloga,40,GH,1601559816,74,5.79,0.9,84.2,13.87
464,Abilene,1,US,1601559705,76,32.45,-99.73,63.0,4.7
465,Trollhättan Municipality,90,SE,1601559817,76,58.23,12.42,57.2,16.11
466,Tobol'sk,0,RU,1601559817,85,58.2,68.27,50.25,5.88
467,St. George's,75,GD,1601559818,79,12.06,-61.75,84.2,23.04
468,Kaeo,97,NZ,1601559818,89,-35.1,173.78,45.0,1.01
469,Lompoc,1,US,1601559819,81,34.64,-120.46,73.4,4.7
470,Lumphat,100,KH,1601559819,94,13.49,106.98,76.5,1.23
471,Bataiporã,0,BR,1601559819,18,-22.3,-53.27,100.13,6.85
472,Iranshahr,20,IR,1601559820,12,27.2,60.68,96.8,11.41
473,Eyl,86,SO,1601559820,55,7.98,49.82,85.01,18.34
474,Hoquiam,90,US,1601559821,93,46.98,-123.89,57.99,1.1
475,São José da Coroa Grande,60,BR,1601559821,64,-8.9,-35.15,80.98,13.62
476,Algiers,20,DZ,1601559767,58,36.75,3.04,82.4,12.75
477,Yarim,48,YE,1601559822,31,14.3,44.38,66.31,8.41
478,Codrington,0,AU,1601559822,78,-38.27,141.97,51.82,14.32
479,Peskovka,67,RU,1601559823,91,59.04,52.36,52.59,3.87
480,Sturgeon Falls,90,CA,1601559823,100,46.36,-79.93,52.0,9.17
481,Pinega,59,RU,1601559823,86,64.7,43.39,49.89,2.95
482,San Quintín,0,MX,1601559823,42,30.48,-115.95,75.74,4.32
483,Davidson,1,US,1601559824,62,36.15,-86.78,59.0,3.36
484,Tazovsky,99,RU,1601559824,92,67.47,78.7,42.78,15.3
485,Provideniya,100,RU,1601559825,74,64.38,-173.3,39.24,10.96
486,Praia,20,CV,1601559825,70,14.92,-23.51,86.0,18.34
487,Ormara,0,PK,1601559826,73,25.21,64.64,83.61,6.93
488,Ambon City,75,ID,1601559826,94,-3.7,128.18,78.8,3.36
489,Cambrils,51,ES,1601559826,34,41.07,1.05,82.4,13.87
490,Natal,75,BR,1601559619,83,-5.79,-35.21,77.0,10.29
491,Shitanjing,0,CN,1601559827,43,39.23,106.34,51.26,2.89
492,Bandi̇̄pur,11,NP,1601559827,100,27.93,84.42,68.61,1.41
493,Puerto Colombia,75,CO,1601559828,79,10.99,-74.95,84.2,4.7
494,Glenwood Springs,1,US,1601559770,20,39.55,-107.32,42.8,5.82
495,Verkhnevilyuysk,15,RU,1601559829,90,63.45,120.32,26.37,4.56
496,Srandakan,26,ID,1601559829,86,-7.94,110.25,78.44,4.54
497,Sabha,0,LY,1601559829,13,27.04,14.43,99.36,5.84
498,Geraldton,40,AU,1601559830,76,-28.77,114.6,57.2,9.4
499,Araouane,0,ML,1601559830,7,18.9,-3.53,107.17,4.94
500,Ābu Road,0,IN,1601559691,53,24.48,72.78,82.85,3.71
501,Shingū,0,JP,1601559831,78,33.73,135.98,62.22,6.17
502,Shubarkuduk,0,KZ,1601559832,41,49.14,56.49,60.42,7.58
503,Shubarshi,0,KZ,1601559832,38,48.59,57.19,60.4,8.32
504,Dwārka,0,IN,1601559833,70,22.24,68.97,83.21,9.17
505,Zanjān,40,IR,1601559833,27,36.67,48.48,75.2,6.93
506,Port-Gentil,82,GA,1601559603,71,-0.72,8.78,77.88,8.93
507,Havelock,0,US,1601559834,84,34.88,-76.9,69.01,1.99
508,Gornyye Klyuchi,55,RU,1601559834,79,45.25,133.5,49.17,5.26
509,Ostrovnoy,65,RU,1601559835,82,68.05,39.51,49.91,9.64
510,Kholodnyy,71,RU,1601559835,95,62.72,147.95,29.34,1.97
511,Morro Bay,5,US,1601559811,55,35.37,-120.85,72.0,6.55
512,Kuytun,100,RU,1601559836,87,54.34,101.5,31.14,1.57
513,Japura,100,ID,1601559579,92,-0.32,102.35,75.51,1.68
514,Río Gallegos,20,AR,1601559836,59,-51.62,-69.22,35.6,28.86
515,Sinnamary,89,GF,1601559837,70,5.38,-52.95,85.19,7.52
516,Heraclea,31,TR,1601559837,32,37.51,34.05,75.33,13.98
517,Oranjemund,0,NA,1601559837,67,-28.55,16.43,58.37,18.57
518,Mayskiy,100,RU,1601559838,27,47.69,40.1,73.4,29.08
519,Serenje,2,ZM,1601559838,18,-13.23,30.24,88.14,12.06
520,Fare,2,PF,1601559839,77,-16.7,-151.02,78.85,20.45
521,Omaruru,0,NA,1601559839,12,-21.43,15.93,82.85,15.46
522,Dingle,8,PH,1601559840,91,11.0,122.67,77.32,1.14
523,Bilibino,84,RU,1601559840,97,68.05,166.44,28.36,3.58
524,Nanyamba,20,TZ,1601559841,55,-10.68,39.83,87.8,17.22
525,Durban,75,ZA,1601559739,72,-29.86,31.03,68.0,21.92
526,Pouébo,26,NC,1601559842,81,-20.4,164.57,67.87,10.2
527,Mayumba,74,GA,1601559842,73,-3.43,10.66,78.55,9.57
528,Ixtapa,5,MX,1601559843,88,20.7,-105.2,79.0,6.93
529,Daru,93,PG,1601559843,83,-9.08,143.21,76.28,16.6
530,Clearwater,90,US,1601559843,56,27.97,-82.8,75.0,4.7
531,Marsh Harbour,19,BS,1601559844,74,26.54,-77.06,83.98,7.38
532,North Bend,90,US,1601559844,100,43.41,-124.22,57.2,5.82
533,Feodosiya,28,UA,1601559844,68,45.03,35.38,67.66,9.17
534,Port Hardy,90,CA,1601559845,100,50.7,-127.42,55.4,2.35
535,Moscow,31,RU,1601559793,34,55.75,37.62,64.4,8.95
536,Linden,75,GY,1601559845,74,6.0,-58.3,86.0,4.7
537,Tolaga Bay,6,NZ,1601559846,83,-38.37,178.3,47.05,4.34
538,Margate,85,GB,1601559846,69,51.38,1.39,61.0,4.0
539,Uyemskiy,40,RU,1601559847,82,64.47,40.85,55.4,0.54
540,Henderson,1,US,1601559840,10,36.04,-114.98,71.6,4.7
541,Oriximiná,56,BR,1601559608,40,-1.77,-55.87,93.69,3.89
542,Merauke,100,ID,1601559569,75,-8.47,140.33,77.47,17.9
543,Broken Hill,0,AU,1601559848,63,-31.95,141.43,62.6,8.05
544,Eidfjord,100,NO,1601559848,88,60.47,7.07,45.0,10.69
545,São João da Barra,3,BR,1601559848,71,-21.64,-41.05,79.57,15.59
546,Turukhansk,99,RU,1601559849,93,65.82,87.98,31.55,7.85
547,Celestún,95,MX,1601559849,88,20.87,-90.4,78.8,14.29
548,Umluj,0,SA,1601559850,56,25.02,37.27,89.58,5.35
549,Cabo Rojo,57,PR,1601559850,68,18.09,-67.15,89.01,1.99
550,São Raimundo Nonato,1,BR,1601559850,30,-9.02,-42.7,91.67,11.61
551,Dīr,0,PK,1601559851,46,35.21,71.88,61.25,0.92
